Afghanistan (l'),Kaboul
Afrique du Sud (l'),Prétoria
Albanie (l'),Tirana
Algérie (l'),Alger
Allemagne (l'),Berlin
Andorre (l'),Andorre-la-Vieille
Angola (l'),Luanda
Antigua-et-Barbuda,Saint John's
Arabie saoudite (l'),Riyad
Argentine (l'),Buenos Aires
Arménie (l'),Erevan
Australie (l'),Canberra
Autriche (l'),Vienne
Azerbaïdjan (l'),Bakou
Bahamas (les),Nassau
Bahreïn,Manama
Bangladesh (le),Dacca
Barbade (la),Bridgetown
Belgique (la),Bruxelles
Bélize (le),Belmopan
Bénin (le),Porto-Novo
Bhoutan (le),Thimphou
Biélorussie (la),Minsk
Birmanie (la),Naypyidaw
Bolivie (la),Sucre / La Paz
Bosnie-Herzégovine (la),Sarajevo
Botswana (le),Gaborone
Brésil (le),Brasilia
Brunei (le),Bandar Seri Begawan
Bulgarie (la),Sofia
Burkina (le),Ouagadougou
Burundi (le),Bujumbura
Cambodge (le),Phnom Penh
Cameroun (le),Yaoundé
Canada (le),Ottawa
Cap-Vert (le),Praia
Centrafrique (la),Bangui
Chili (le),Santiago
Chine (la),Pékin
Chypre,Nicosie
Colombie (la),Bogota
Comores (les),Moroni
Congo (le),Brazzaville
Congo (la République démocratique du),Kinshasa
Corée du Nord (la),Pyongyang
Corée du Sud (la),Séoul
Costa Rica (le),San José
Côte d'Ivoire (la),Yamoussoukro
Croatie (la),Zagreb
Cuba,La Havane
Danemark (le),Copenhague
Djibouti,Djibouti
Dominicaine (la République),Saint-Domingue
Dominique (la),Roseau
Égypte (l'),Le Caire
Émirats arabes unis (les),Abou Dabi
Équateur (l'),Quito
Érythrée (l'),Asmara
Espagne (l'),Madrid
Estonie (l'),Tallinn
États-Unis (les),Washington
Éthiopie (l'),Addis Abeba
Fidji (les),Suva
Finlande (la),Helsinki
France (la),Paris
Gabon (le),Libreville
Gambie (la),Banjul
Géorgie (la),Tbilissi
Ghana (le),Accra
Grèce (la),Athènes
Grenade (la),Saint-Georges
Guatémala (le),Guatémala
Guinée (la),Conakry
Guinée-Bissao (la),Bissao
Guinée équatoriale (la),Malabo
Guyana (le),Georgetown
Haïti,Port-au-Prince
Honduras (le),Tégucigalpa
Hongrie (la),Budapest
Inde (l'),New Delhi
Indonésie (l'),Jakarta
Irak (l'),Bagdad
Iran (l'),Téhéran
Irlande (l'),Dublin
Islande (l'),Reykjavik
Italie (l'),Rome
Jamaïque (la),Kingston
Japon (le),Tokyo
Jordanie (la),Amman
Kazakhstan (le),Astana
Kenya (le),Nairobi
Kirghizstan (le),Bichkek
Kiribati (les),Bairiki (Tarawa)
Kosovo (le),Pristina
Koweït (le),Koweït
Laos (le),Vientiane
Lesotho (le),Maseru
Lettonie (la),Riga
Liban (le),Beyrouth
Libéria (le),Monrovia
Libye (la),Tripoli
Liechtenstein (le),Vaduz
Lituanie (la),Vilnius
Luxembourg (le),Luxembourg
Macédoine (l'ancienne République yougoslave de),Skopje
Madagascar,Antananarivo (ou Tananarive)
Malaisie (la),Kuala Lumpur
Malawi (le),Lilongwé
Maldives (les),Malé
Mali (le),Bamako
Malte,La Valette
Maroc (le),Rabat
Marshall (les),Delap-Uliga-Darrit (Majuro)
Maurice,Port-Louis
Mauritanie (la),Nouakchott
Mexique (le),Mexico
Micronésie (la),Palikir
Moldavie (la),Chisinau
Monaco,Monaco
Mongolie (la),Oulan-Bator
Monténégro (le),Podgorica
Mozambique (le),Maputo
Namibie (la),Windhoek
Nauru,Yaren
Népal (le),Katmandou
Nicaragua (le),Managua
Niger (le),Niamey
Nigéria (le),Abuja
Norvège (la),Oslo
Nouvelle-Zélande (la),Wellington
Oman,Mascate
Ouganda (l'),Kampala
Ouzbékistan (l'),Tachkent
Pakistan (le),Islamabad
Palaos (les),Melekeok
Panama (le),Panama
Papouasie-Nouvelle-Guinée (la),Port Moresby
Paraguay (le),Asuncion
Pays-Bas (les),Amsterdam
Pérou (le),Lima
Philippines (les),Manille
Pologne (la),Varsovie
Portugal (le),Lisbonne
Qatar (le),Doha
Roumanie (la),Bucarest
Royaume-Uni (le),Londres
Russie (la),Moscou
Rwanda (le),Kigali
Saint-Christophe-et-Niévès,Basseterre
Sainte-Lucie,Castries
Saint-Marin,Saint-Marin
Saint-Vincent-et-les-Grenadines,Kingstown
Salomon (les),Honiara
Salvador (le),San Salvador
Samoa (les),Apia
Sao Tomé-et-Principe,Sao Tomé
Sénégal (le),Dakar
Serbie (la),Belgrade
Seychelles (les),Victoria
Sierra Leone (la),Freetown
Singapour,Singapour
Slovaquie (la),Bratislava
Slovénie (la),Ljubljana
Somalie (la),Mogadiscio
Soudan (le),Khartoum
Soudan du Sud (le),Djouba ou Juba
